second,bitrate_kbps
0,104.24
1,209.24
2,182.568
3,175.52
4,258.632
5,260.264
6,279.896
7,212.76
8,376.384
9,423.56
10,589.792
11,544.752
12,333.344
13,373.024
14,366.624
15,379.096
16,166.088
17,166.568
18,162.856
19,95.608
20,366.152
21,63.416
22,28.328
23,657.208
24,313.464
25,536.648
26,422.888
27,398.032
28,410.424
29,542.808
30,420.552
31,427.752
32,645.152
33,701.512
34,209.8
35,204.616
36,208.936
37,211.44
38,200.728
39,205.168
40,176.144
41,187.68
42,168.128
43,392.216
44,259.392
45,222.704
46,237.2
47,529.84
48,305.224
49,373.792
50,307.912
51,220.312
52,240.568
53,258.952
54,379.432
55,450.216
56,188.584
57,81.288
58,162.424
59,72.384
60,231.424
61,162.504
62,162.672
63,458.928
64,124.128
65,229.48
66,397.28
67,381.064
68,404.504
69,449.472
70,31.392
71,322.776
72,93.816
73,254.432
74,479.896
75,679.392
76,427.096
77,652.064
78,633.416
79,729.296
80,339.536
81,275.32
82,270.6
83,190.48
84,46.056
85,60.736
86,139.808
87,197.824
88,36.696
89,344.656
90,132.792
91,284.616
92,54.032
93,58.48
94,72.84
95,158.16
96,220.856
97,128.392
98,57.896
99,338.784
100,106.864
101,359.512
102,150.12
103,169.552
104,181.984
105,278.832
106,231.528
107,200.624
108,239.16
109,160.92
110,159.608
111,249.744
112,626.104
113,327.44
114,161.688
115,251.68
116,330.712
117,410.96
118,323.832
119,528.704
120,375.408
121,372.032
122,257.32
123,445.744
124,215.928
125,148.856
126,441.424
127,274.352
128,177.288
129,134.056
130,140.56
131,230.168
132,170.696
133,250.304
134,257.232
135,252.392
136,230.184
137,464.704
138,266.12
139,263.608
140,279.456
141,180.328
142,340.016
143,448.912
144,175.328
145,105.984
146,450.936
147,73.216
148,22.672
149,416.28
150,192.336
151,293.576
152,300.0
153,434.512
154,162.216
155,152.824
156,393.072
157,34.096
158,94.824
159,115.832
160,398.2
161,237.056
162,284.576
163,490.616
164,238.664
165,227.792
166,148.784
167,104.928
168,469.832
169,311.512
170,129.152
171,96.896
172,100.112
173,151.776
174,183.024
175,245.976
176,615.04
177,493.168
178,187.384
179,207.088
180,531.56
181,370.112
182,384.664
183,353.0
184,442.528
185,163.768
186,532.488
187,550.416
188,396.056
189,293.0
190,15.024
191,28.88
192,619.848
193,399.288
194,341.84
195,590.68
196,563.776
197,66.776
198,266.6
199,248.408
200,214.464
201,323.392
202,122.312
203,93.088
204,209.136
205,242.848
206,281.776
207,290.224
208,355.912
209,490.528
210,516.984
211,632.44
212,783.888
213,710.672
214,202.264
215,233.856
216,222.344
217,249.936
218,293.216
219,228.104
220,188.576
221,270.624
222,18.68
223,474.0
224,46.0
225,160.024
226,522.496
227,360.832
228,113.4
229,633.328
230,37.104
231,47.464
232,307.448
233,198.456
234,144.64
235,162.216
236,117.6
237,182.096
238,120.536
239,164.744
240,111.632
241,267.408
242,656.328
243,663.336
244,584.744
245,343.872
246,513.168
247,408.864
248,549.592
249,373.528
250,198.272
251,204.76
252,478.784
253,675.32
254,216.064
255,254.776
256,78.976
257,459.016
258,307.048
259,619.992
260,330.544
261,249.408
262,344.208
263,282.712
264,288.6
265,193.784
266,399.736
267,197.328
268,272.808
269,217.688
270,670.184
271,494.56
272,526.424
273,503.248
274,217.016
275,245.584
276,255.288
277,608.4
278,348.4
279,516.96
280,352.112
281,222.616
282,233.096
283,211.856
284,512.512
285,61.4
286,49.24
287,64.168
288,82.664
289,87.24
290,63.144
291,52.344
292,319.064
293,516.848
294,412.216
295,562.936
296,91.24
297,431.904
298,242.312
299,54.536
300,370.344
301,464.52
302,369.544
303,432.888
304,332.456
305,437.664
306,164.92
307,335.768
308,632.32
309,131.632
310,242.736
311,348.48
312,655.752
313,564.144
314,474.288
315,514.688
316,382.544
317,587.76
318,457.472
319,297.968
320,761.592
321,573.92
322,319.88
323,390.528
324,345.608
325,419.816
326,308.128
327,610.176
328,642.848
329,217.84
330,287.144
331,425.192
332,288.784
333,217.112
334,478.336
335,275.576
336,336.92
337,324.784
338,39.696
339,428.888
340,161.248
341,129.8
342,167.8
343,577.904
344,605.176
345,632.152
346,698.656
347,456.92
348,508.336
349,577.664
350,791.72
351,633.68
352,383.544
353,525.472
354,122.424
355,929.968
356,125.496
357,614.984
358,788.032
359,776.128
360,924.728
361,314.712
362,91.704
363,169.488
364,316.584
365,777.912
366,502.28
367,464.864
368,430.584
369,243.784
370,52.36
371,596.392
372,407.872
373,45.808
374,38.752
375,413.16
376,44.032
377,155.304
378,409.536
379,153.232
380,193.072
381,381.648
382,83.528
383,35.864
384,57.0
385,164.992
386,29.08
387,45.048
388,114.64
389,91.136
390,269.088
391,260.704
392,603.176
393,50.832
394,159.656
395,98.456
396,254.248
397,167.4
398,462.592
399,455.368
400,142.872
401,140.656
402,273.072
403,269.384
404,810.968
405,132.32
406,157.472
407,82.88
408,284.408
409,236.208
410,538.424
411,470.176
412,457.768
413,115.128
414,203.616
415,417.632
416,404.544
417,419.328
418,148.12
419,251.648
420,1566.192
421,964.384
422,977.112
423,741.696
424,474.696
425,227.4
426,906.368
427,660.168
428,254.36
429,267.408
430,770.624
431,1131.592
432,1267.92
433,1073.536
434,361.32
435,553.216
436,661.192
437,315.864
438,251.688
439,154.232
440,252.704
441,42.088
442,1525.336
443,613.672
444,1233.648
445,322.504
446,110.8
447,156.208
448,68.72
449,106.52
450,175.992
451,378.664
452,326.104
453,364.632
454,45.832
455,30.608
456,217.656
457,331.264
458,350.288
459,295.048
460,177.544
461,38.456
462,490.304
463,400.288
464,427.272
465,379.904
466,703.464
467,528.24
468,689.168
469,467.592
470,353.288
471,179.272
472,334.048
473,66.536
474,245.704
475,250.488
476,220.312
477,68.664
478,308.104
479,175.744
480,208.368
481,111.528
482,64.536
483,224.792
484,77.312
485,68.784
486,351.448
487,83.12
488,109.824
489,146.704
490,324.376
491,222.36
492,184.424
493,59.32
494,214.8
495,199.232
496,167.104
497,232.088
498,205.704
499,231.168
500,332.664
501,256.08
502,284.664
503,295.856
504,274.136
505,279.216
506,269.624
507,326.728
508,401.944
509,395.552
510,317.944
511,422.688
512,279.176
513,302.976
514,283.112
515,370.0
516,343.352
517,342.264
518,310.84
519,358.856
520,340.344
521,346.952
522,260.032
523,454.288
524,370.608
525,372.16
526,383.304
527,278.704
528,268.712
529,355.16
530,299.928
531,293.272
532,390.496
533,372.832
534,358.544
535,285.176
536,318.376
537,357.176
538,282.224
539,249.672
540,248.488
541,241.288
542,621.824
543,251.304
544,275.544
545,245.072
546,245.28
547,250.256
548,288.752
549,282.736
550,253.288
551,230.744
552,856.6
553,393.464
554,473.92
555,457.608
556,474.488
557,415.272
558,394.272
559,294.992
560,299.104
561,272.816
562,262.688
563,406.208
564,193.896
565,196.504
566,196.2
567,200.432
568,229.224
569,214.864
570,172.168
571,193.6
572,230.992
573,301.344
574,172.024
575,181.008
576,233.496
577,223.16
578,118.104
579,179.248
580,60.064
581,58.944
582,165.312
583,154.216
584,145.88
585,72.592
586,60.16
587,54.288
588,143.68
589,139.944
590,130.48
591,206.888
592,151.584
593,157.808
594,185.504
595,173.016
596,79.12
