second,ssim
0,0.999746347826087
1,0.9981399583333334
2,0.9969568333333334
3,0.996194375
4,0.995521375
5,0.9947191666666666
6,0.9939157083333333
7,0.9925716666666666
8,0.9923310833333333
9,0.9925778749999999
10,0.9922023750000001
11,0.9910397083333334
12,0.9907081666666667
13,0.9897461249999999
14,0.9894107916666667
15,0.9890647083333333
16,0.9957397083333334
17,0.9949413749999999
18,0.9960116666666666
19,0.9961460833333334
20,0.994204125
21,0.9968672500000001
22,0.9971601666666666
23,0.9890992500000001
24,0.9876339583333333
25,0.988163
26,0.9886866666666667
27,0.9887528333333333
28,0.988308875
29,0.9875678333333333
30,0.9886425
31,0.9866477499999999
32,0.9866352083333334
33,0.9892042499999999
34,0.9899846666666666
35,0.9903147083333333
36,0.9902315416666667
37,0.9903726666666667
38,0.9906939583333333
39,0.9909426666666666
40,0.99143675
41,0.9914856666666667
42,0.9918129166666666
43,0.9927086666666667
44,0.9919585416666666
45,0.991158375
46,0.9915127083333334
47,0.9912025
48,0.9880662916666667
49,0.9874819583333333
50,0.9902802916666666
51,0.9926359166666666
52,0.9920006666666666
53,0.9919433333333334
54,0.9905296666666666
55,0.9900247916666666
56,0.9978522083333333
57,0.9985961250000001
58,0.9971780416666666
59,0.9973617083333334
60,0.9967452083333334
61,0.9949720416666668
62,0.99516225
63,0.9950780833333334
64,0.99538425
65,0.9941050833333334
66,0.9925726250000001
67,0.992842875
68,0.9921635000000001
69,0.9944769999999999
70,0.9965527500000001
71,0.9966974166666667
72,0.9957623333333333
73,0.9950549999999999
74,0.9926920833333334
75,0.9908769999999999
76,0.9867295
77,0.9858115000000001
78,0.9861897083333333
79,0.9857865833333334
80,0.993263625
81,0.992659125
82,0.9927720833333334
83,0.9951079166666666
84,0.9958317083333333
85,0.995692875
86,0.9951120416666667
87,0.9957089583333333
88,0.9963632499999999
89,0.9963559166666668
90,0.9959512916666666
91,0.996189125
92,0.9974859583333333
93,0.9975649583333334
94,0.997328875
95,0.9968618333333333
96,0.9962754166666666
97,0.9966765
98,0.9974806666666667
99,0.9974050416666667
100,0.9971780833333334
101,0.9958241666666666
102,0.99552725
103,0.99530325
104,0.9967982916666666
105,0.9958595833333334
106,0.99588475
107,0.9959261666666667
108,0.9957344583333333
109,0.9960161666666667
110,0.9959924166666667
111,0.9955899583333333
112,0.99514325
113,0.9948290416666667
114,0.9954325
115,0.9949227916666666
116,0.9940231666666667
117,0.99400025
118,0.9925408333333333
119,0.9925864583333334
120,0.9924284999999999
121,0.9936555416666666
122,0.9938158333333332
123,0.9949618333333333
124,0.9959972083333333
125,0.9956017916666666
126,0.9952597083333333
127,0.9945102916666667
128,0.9949995833333333
129,0.9953810416666666
130,0.9950588333333333
131,0.9947864583333333
132,0.9949937083333333
133,0.9946369166666668
134,0.9944290833333334
135,0.9941602083333333
136,0.994657625
137,0.995404125
138,0.9948102083333333
139,0.9941990833333333
140,0.9944697916666666
141,0.9947795833333334
142,0.993660125
143,0.9936787499999999
144,0.9952899166666667
145,0.9952934583333333
146,0.9958529583333333
147,0.9966612916666667
148,0.9966219583333333
149,0.9965469583333334
150,0.99538825
151,0.9947056666666666
152,0.9944758333333333
153,0.9939776666666668
154,0.9951865416666666
155,0.9948746666666667
156,0.997049875
157,0.997151625
158,0.9968137916666667
159,0.9964588333333334
160,0.99582725
161,0.99487725
162,0.9957080833333333
163,0.9958250833333334
164,0.9953710833333332
165,0.9949249166666667
166,0.9970130833333334
167,0.9971715416666668
168,0.9955614583333333
169,0.9948480833333333
170,0.9977640416666667
171,0.9979762916666667
172,0.997751
173,0.997029375
174,0.9964225833333334
175,0.9958733333333334
176,0.9941645416666667
177,0.9941980416666666
178,0.9963349583333333
179,0.9960232916666666
180,0.9952063333333333
181,0.9939210833333334
182,0.9936625833333333
183,0.993859375
184,0.9932193333333333
185,0.9946458749999999
186,0.9953559583333332
187,0.9937858749999999
188,0.9949730833333333
189,0.9967199583333333
190,0.9978704166666666
191,0.9976331666666667
192,0.994310375
193,0.994223
194,0.9945537916666667
195,0.9936605
196,0.9937819166666667
197,0.996785875
198,0.9957975416666667
199,0.9962222083333333
200,0.9961043749999999
201,0.9956697499999999
202,0.995903125
203,0.99565175
204,0.9969950000000001
205,0.9971696666666667
206,0.9949911666666668
207,0.9960555000000001
208,0.9961142500000001
209,0.9940146666666667
210,0.9935242083333334
211,0.9935065000000001
212,0.9926321666666666
213,0.9919720833333333
214,0.9962107083333334
215,0.9961406666666667
216,0.9959010833333334
217,0.9954696666666667
218,0.9949560416666667
219,0.9951479166666667
220,0.9956196666666667
221,0.997649
222,0.9977795
223,0.9975855
224,0.9970050833333334
225,0.9956520416666667
226,0.9939815
227,0.994381125
228,0.9954177916666667
229,0.9944065000000001
230,0.9974808749999999
231,0.9973487916666667
232,0.9961390833333333
233,0.9955968749999999
234,0.9960600833333334
235,0.995958625
236,0.9954754583333334
237,0.9951034583333334
238,0.9957210416666666
239,0.9954964583333333
240,0.9953365
241,0.9945762916666667
242,0.9929120416666667
243,0.9903114583333333
244,0.9914533333333333
245,0.9925828333333334
246,0.992361625
247,0.9921936250000001
248,0.992976375
249,0.9940769166666666
250,0.9945550416666666
251,0.9957017916666667
252,0.9940148333333334
253,0.9937902916666667
254,0.9949571666666667
255,0.9960537083333333
256,0.9968140416666667
257,0.9944933333333333
258,0.9940675416666668
259,0.9939922499999999
260,0.9938947083333334
261,0.9950740416666667
262,0.9948059583333334
263,0.9945459166666667
264,0.9955007916666667
265,0.9952415833333333
266,0.995409375
267,0.9955894583333333
268,0.9950098333333334
269,0.9944108749999999
270,0.9938596666666667
271,0.992838625
272,0.9927554166666667
273,0.993868875
274,0.9951242499999999
275,0.9949844166666667
276,0.994375625
277,0.993753875
278,0.9946048749999999
279,0.9945255416666666
280,0.9951812916666666
281,0.994933375
282,0.993977375
283,0.9939287916666667
284,0.9946278749999999
285,0.997487875
286,0.997380375
287,0.9972579166666667
288,0.997051875
289,0.9970470416666667
290,0.9970163333333333
291,0.9968236666666667
292,0.9958973333333333
293,0.9938393333333333
294,0.9939771249999999
295,0.9941980416666666
296,0.996229875
297,0.995048875
298,0.9925043333333333
299,0.999066875
300,0.9959689166666666
301,0.9938549999999999
302,0.9937294583333333
303,0.9933803333333334
304,0.9927688333333333
305,0.9956557500000001
306,0.9968051666666667
307,0.99530375
308,0.99522875
309,0.9960942083333334
310,0.9953354166666667
311,0.9947754999999999
312,0.9944093333333334
313,0.99307975
314,0.9930049583333332
315,0.9925042916666666
316,0.9930374583333333
317,0.9942926249999999
318,0.9930189583333333
319,0.99394075
320,0.9918458333333334
321,0.9921758333333334
322,0.9952382916666668
323,0.9957398333333334
324,0.9942848333333334
325,0.994053
326,0.9936232083333333
327,0.9919989166666667
328,0.9934934583333334
329,0.9943814999999999
330,0.9944749583333333
331,0.9945372083333334
332,0.9953330833333333
333,0.9955209166666666
334,0.9950160833333334
335,0.9938675416666666
336,0.9940543333333333
337,0.9974557083333333
338,0.9978232916666667
339,0.9976782916666668
340,0.996120375
