second,bitrate_kbps
0,175.88
1,521.32
2,481.184
3,517.128
4,717.024
5,807.968
6,797.016
7,632.12
8,958.52
9,1165.16
10,1272.84
11,1040.192
12,982.824
13,1068.808
14,1006.624
15,805.736
16,332.488
17,330.136
18,321.64
19,197.296
20,665.048
21,150.76
22,59.552
23,1300.28
24,858.728
25,1406.872
26,1223.496
27,1183.392
28,1172.728
29,1380.512
30,1119.352
31,1058.776
32,1479.472
33,1491.56
34,549.416
35,521.552
36,527.064
37,518.16
38,487.632
39,475.704
40,415.256
41,435.408
42,410.96
43,856.984
44,688.76
45,551.832
46,537.68
47,953.92
48,800.856
49,818.816
50,826.496
51,562.32
52,592.184
53,661.352
54,824.416
55,898.048
56,303.232
57,136.04
58,288.968
59,142.248
60,406.296
61,325.864
62,309.52
63,774.184
64,278.816
65,452.352
66,761.568
67,744.848
68,721.384
69,785.952
70,77.92
71,566.576
72,207.464
73,476.416
74,846.048
75,1224.576
76,976.776
77,1391.36
78,1306.88
79,1539.456
80,684.632
81,608.944
82,581.4
83,500.568
84,98.12
85,134.032
86,268.36
87,448.36
88,88.672
89,635.36
90,390.36
91,523.744
92,109.16
93,118.88
94,138.528
95,302.808
96,426.104
97,280.208
98,128.712
99,607.528
100,247.8
101,720.952
102,334.048
103,328.72
104,345.592
105,509.144
106,445.712
107,382.824
108,486.56
109,334.272
110,314.0
111,472.896
112,1104.512
113,646.96
114,320.992
115,514.272
116,674.36
117,790.392
118,739.592
119,1208.528
120,762.664
121,774.368
122,531.328
123,836.264
124,488.648
125,330.344
126,823.376
127,605.856
128,431.032
129,412.504
130,349.12
131,523.496
132,427.368
133,583.928
134,580.304
135,569.24
136,548.2
137,956.712
138,581.032
139,620.432
140,660.04
141,451.768
142,706.112
143,907.792
144,430.704
145,284.728
146,859.592
147,185.912
148,58.288
149,928.728
150,452.224
151,630.12
152,663.208
153,948.648
154,395.752
155,359.928
156,757.416
157,77.352
158,220.8
159,254.872
160,776.944
161,569.696
162,551.24
163,1012.352
164,563.776
165,513.136
166,294.064
167,229.84
168,954.504
169,624.016
170,301.048
171,212.464
172,208.36
173,308.544
174,371.104
175,501.696
176,1234.944
177,979.544
178,429.288
179,422.696
180,1072.4
181,868.656
182,851.56
183,745.184
184,949.104
185,364.208
186,1088.736
187,1103.584
188,844.464
189,587.44
190,51.264
191,73.64
192,1274.12
193,875.072
194,706.808
195,1192.104
196,1151.576
197,212.544
198,570.368
199,487.24
200,494.624
201,723.152
202,326.104
203,259.128
204,419.104
205,467.608
206,654.152
207,576.32
208,674.704
209,1028.128
210,1058.928
211,1240.416
212,1614.776
213,1451.8
214,491.76
215,514.896
216,519.624
217,644.344
218,693.784
219,560.632
220,403.184
221,547.632
222,59.984
223,850.624
224,249.712
225,425.176
226,1094.792
227,824.832
228,303.976
229,1180.912
230,163.808
231,127.328
232,628.848
233,463.488
234,357.576
235,407.92
236,378.192
237,538.464
238,416.632
239,487.0
240,346.944
241,587.44
242,1414.288
243,1406.752
244,1340.656
245,814.2
246,1181.72
247,1020.88
248,1169.8
249,861.792
250,442.776
251,443.848
252,959.424
253,1332.488
254,503.304
255,553.6
256,206.44
257,975.784
258,674.784
259,1245.696
260,761.84
261,567.64
262,716.36
263,647.344
264,574.016
265,454.68
266,840.2
267,500.816
268,642.168
269,544.568
270,1422.448
271,1130.864
272,1113.544
273,1152.824
274,588.112
275,559.376
276,569.968
277,1175.664
278,885.56
279,1060.984
280,811.536
281,522.48
282,579.544
283,516.328
284,1051.608
285,221.016
286,165.744
287,178.992
288,212.368
289,213.464
290,297.464
291,131.416
292,682.496
293,1023.424
294,858.784
295,1136.864
296,249.016
297,920.104
298,579.84
299,135.912
300,939.312
301,1572.344
302,1353.8
303,1520.384
304,1088.112
305,868.24
306,396.048
307,720.672
308,1261.392
309,365.192
310,616.68
311,774.136
312,1343.88
313,1238.024
314,1009.472
315,1068.344
316,831.128
317,1211.776
318,1058.168
319,655.752
320,1480.904
321,1177.24
322,703.224
323,778.24
324,764.952
325,928.296
326,669.336
327,1319.984
328,1460.848
329,468.72
330,596.2
331,920.328
332,588.44
333,446.752
334,1005.088
335,605.424
336,664.64
337,618.304
338,89.536
339,794.232
340,525.2
341,431.456
342,505.376
343,1451.232
344,1499.064
345,1518.176
346,1623.048
347,1167.512
348,1246.592
349,1426.808
350,1868.8
351,1603.992
352,950.744
353,1252.128
354,338.328
355,2003.832
356,359.288
357,1537.656
358,1805.336
359,1768.984
360,2082.056
361,821.736
362,289.616
363,472.288
364,815.328
365,1782.216
366,1313.32
367,1115.096
368,1105.12
369,698.432
370,176.88
371,1266.08
372,784.808
373,185.32
374,161.736
375,754.048
376,201.712
377,378.528
378,813.56
379,356.088
380,381.736
381,772.904
382,224.688
383,171.92
384,148.552
385,326.352
386,85.832
387,109.56
388,266.952
389,181.24
390,487.312
391,513.888
392,1051.176
393,182.704
394,305.784
395,218.36
396,490.088
397,344.496
398,847.288
399,844.312
400,319.352
401,299.952
402,521.816
403,513.144
404,1375.176
405,313.544
406,334.592
407,193.384
408,541.864
409,468.072
410,979.52
411,942.328
412,1030.016
413,438.544
414,578.56
415,898.704
416,772.696
417,766.768
418,348.656
419,497.888
420,2951.32
421,1819.824
422,2237.728
423,1778.336
424,997.24
425,515.552
426,2117.608
427,1570.896
428,541.256
429,539.016
430,1514.504
431,2638.28
432,2770.936
433,2371.896
434,728.112
435,1076.376
436,1233.792
437,652.36
438,555.688
439,302.104
440,420.888
441,116.376
442,3115.064
443,1112.344
444,2209.064
