second,bitrate_kbps
0,276.096
1,1021.544
2,927.32
3,963.472
4,1753.2
5,1911.136
6,2165.792
7,1554.552
8,2558.704
9,3437.592
10,3169.72
11,2553.76
12,3149.824
13,3349.032
14,3199.84
15,2268.144
16,729.176
17,707.944
18,679.68
19,413.576
20,1283.776
21,350.192
22,115.04
23,3139.208
24,2838.488
25,4111.752
26,3720.872
27,3763.08
28,3680.448
29,4137.536
30,3520.688
31,3098.216
32,3584.96
33,3461.192
34,1729.112
35,1674.344
36,1683.584
37,1634.736
38,1550.48
39,1510.632
40,1362.44
41,1386.176
42,1308.864
43,2289.032
44,2087.264
45,1657.064
46,1592.752
47,2135.472
48,2606.736
49,2317.88
50,2585.232
51,1539.392
52,1768.472
53,1867.056
54,2033.912
55,1946.008
56,473.608
57,240.904
58,529.008
59,298.472
60,772.416
61,684.776
62,629.016
63,1445.864
64,610.864
65,987.88
66,1506.664
67,1453.944
68,1348.648
69,1417.848
70,200.288
71,1037.336
72,430.272
73,926.792
74,1527.128
75,2404.016
76,2350.736
77,3050.68
78,3058.096
79,3153.944
80,1692.144
81,1383.712
82,1394.128
83,1242.208
84,221.832
85,231.072
86,521.168
87,902.232
88,188.008
89,1094.336
90,1004.088
91,932.64
92,232.672
93,247.592
94,261.336
95,547.736
96,773.336
97,550.848
98,212.376
99,956.288
100,466.288
101,1213.36
102,642.904
103,598.056
104,615.368
105,898.712
106,776.688
107,674.392
108,859.616
109,566.32
110,588.464
111,828.12
112,1844.92
113,1099.44
114,581.376
115,908.72
116,1223.176
117,1358.448
118,1720.84
119,2489.816
120,1585.088
121,1387.872
122,947.488
123,1443.48
124,871.704
125,645.632
126,1327.424
127,1225.184
128,829.664
129,874.296
130,693.6
131,1033.464
132,869.976
133,1137.096
134,1124.064
135,1081.08
136,1116.904
137,1682.96
138,1124.616
139,1210.312
140,1189.552
141,919.224
142,1257.6
143,1570.296
144,795.872
145,582.632
146,1431.328
147,330.176
148,97.16
149,1681.608
150,792.784
151,1124.768
152,1230.712
153,1678.504
154,760.44
155,703.952
156,1254.792
157,173.52
158,392.104
159,446.008
160,1413.376
161,1078.672
162,920.88
163,1749.4
164,1055.344
165,931.08
166,509.48
167,415.76
168,1641.992
169,1069.68
170,498.904
171,331.232
172,344.464
173,518.344
174,635.312
175,821.296
176,2086.968
177,1638.952
178,732.712
179,755.912
180,1773.24
181,1521.768
182,1412.384
183,1318.248
184,1605.24
185,658.48
186,1732.84
187,1874.88
188,1493.912
189,960.16
190,107.28
191,147.608
192,2093.336
193,1609.568
194,1262.88
195,1932.296
196,1953.144
197,485.784
198,977.968
199,793.984
200,898.0
201,1295.216
202,647.472
203,564.408
204,709.168
205,778.632
206,1189.92
207,993.832
208,1059.616
209,1688.712
210,1700.352
211,2041.312
212,2667.336
213,2469.32
214,872.192
215,882.616
216,930.208
217,1203.384
218,1277.344
219,1079.056
220,746.928
221,894.944
222,117.312
223,1348.384
224,532.544
225,697.944
226,1837.288
227,1361.264
228,567.776
229,1893.328
230,333.616
231,232.808
232,1061.208
233,801.24
234,651.488
235,782.88
236,859.928
237,1173.136
238,924.6
239,1051.664
240,749.768
241,1015.664
242,2861.4
243,2561.208
244,2451.952
245,1575.648
246,2320.48
247,1871.232
248,2157.368
249,1541.168
250,820.76
251,760.24
252,1577.744
253,2190.936
254,882.808
255,978.632
256,331.416
257,1692.936
258,1214.304
259,2105.6
260,1364.544
261,1053.216
262,1261.936
263,1112.288
264,1007.728
265,802.488
266,1449.392
267,913.256
268,1133.568
269,1035.592
270,2253.648
271,1993.048
272,2068.472
273,1954.592
274,989.304
275,1001.808
276,995.92
277,1917.136
278,1571.288
279,1741.32
280,1380.792
281,988.088
282,1089.352
283,988.776
284,1766.472
285,391.016
286,283.576
287,302.088
288,360.624
289,364.456
290,567.52
291,238.8
292,1195.36
293,1694.336
294,1450.704
295,1898.728
296,472.096
297,1575.624
298,1191.144
299,251.864
300,1749.888
301,3394.64
302,3227.472
303,3498.504
304,2599.64
305,1425.48
306,700.136
307,1219.0
308,2065.104
309,638.296
310,1112.536
311,1245.312
312,2227.208
313,2062.68
314,1740.152
315,1822.68
316,1501.576
317,2086.856
318,1918.064
319,1247.04
320,2458.568
321,2065.4
322,1222.368
323,1269.824
324,1349.16
325,1663.112
326,1213.248
327,2310.08
328,2736.056
329,848.24
330,1047.944
331,1533.44
332,965.992
333,768.544
334,1697.72
335,1100.8
336,1130.424
337,966.664
338,144.44
339,1289.184
340,991.936
341,830.944
342,1099.0
343,2984.984
344,3033.096
345,2992.072
346,3077.856
347,2424.68
348,2509.848
349,2875.232
350,3654.816
351,3178.496
352,1696.184
353,2467.112
354,741.048
355,3469.84
356,854.272
357,3189.84
358,3548.768
359,3394.872
360,3931.192
361,1575.624
362,660.432
363,1008.816
364,1786.176
365,3661.344
366,3044.368
367,2635.656
368,2528.08
369,1706.168
370,472.136
371,2284.152
372,1346.76
373,488.728
374,449.656
375,1329.912
376,473.376
377,756.376
378,1455.152
379,674.712
380,703.304
381,1344.952
382,462.256
383,386.0
384,327.288
385,617.272
386,170.408
387,219.776
388,427.128
389,447.136
390,812.144
391,906.84
392,1756.568
393,496.544
394,563.008
395,473.8
396,882.48
397,624.2
398,1335.296
399,1428.592
400,612.704
401,565.688
402,858.944
403,858.04
404,2039.08
405,746.4
406,579.36
407,413.8
408,920.408
409,849.808
410,1684.424
411,1631.928
412,1990.672
413,1052.496
414,1297.752
415,1677.984
416,1367.904
417,1342.392
418,679.816
419,852.256
420,4847.216
421,2932.248
422,4513.272
423,3669.848
424,1809.936
425,903.368
426,4337.288
427,3318.88
428,1126.328
429,976.8
430,2662.848
431,4865.24
432,5341.664
433,4361.096
434,1227.648
435,1874.784
436,2065.256
437,1114.816
438,955.32
439,637.616
440,746.624
441,290.112
442,5474.792
443,1822.76
444,3577.048
445,1894.408
446,495.768
447,651.808
448,327.2
449,466.984
450,624.912
451,1367.504
452,1392.088
453,1569.376
454,330.784
455,193.928
456,808.424
457,1197.4
458,1347.248
459,1164.296
460,853.592
461,111.568
462,3074.528
463,2956.128
464,3309.656
465,2722.416
466,3427.328
467,2733.408
468,3286.832
469,2602.656
470,2151.168
471,872.88
472,1239.648
473,446.744
474,963.024
475,1017.048
476,927.232
477,621.848
478,1739.056
479,1163.312
480,1083.752
481,509.56
482,298.376
483,718.432
484,550.44
485,522.432
486,1290.16
487,486.432
488,447.688
489,464.464
490,1072.408
491,1410.752
492,947.864
493,219.832
494,714.384
495,563.376
496,655.36
497,1075.28
498,1070.552
499,1198.72
500,1616.392
501,1320.136
502,1503.992
503,1619.016
