second,bitrate_kbps
0,315.44
1,1194.792
2,1054.176
3,1320.768
4,2021.368
5,2457.984
6,2464.84
7,2024.384
8,2831.128
9,3760.512
10,3373.44
11,2659.504
12,3295.0
13,3534.28
14,3342.832
15,2336.976
16,737.296
17,722.816
18,696.856
19,448.736
20,1340.712
21,368.832
22,124.416
23,3352.944
24,3078.584
25,4560.8
26,4144.608
27,4194.328
28,4055.28
29,4531.104
30,3830.624
31,3356.232
32,3837.48
33,3666.04
34,1876.376
35,1804.84
36,1792.768
37,1727.232
38,1634.2
39,1589.008
40,1419.656
41,1441.352
42,1363.192
43,2310.016
44,2241.448
45,1754.64
46,1618.232
47,2209.232
48,2760.152
49,2407.128
50,2764.792
51,1613.088
52,1854.136
53,2035.384
54,2180.632
55,2075.248
56,483.216
57,254.696
58,566.776
59,323.968
60,802.768
61,744.712
62,678.256
63,1511.424
64,682.688
65,1042.944
66,1636.72
67,1614.032
68,1469.624
69,1526.68
70,220.36
71,1103.352
72,482.432
73,1012.496
74,1670.072
75,2657.152
76,2935.16
77,3606.768
78,3365.256
79,3681.984
80,1832.464
81,1682.976
82,1579.288
83,1477.976
84,242.536
85,293.216
86,577.52
87,1042.656
88,221.0
89,1204.736
90,1201.256
91,1046.856
92,271.424
93,288.488
94,298.696
95,630.728
96,887.224
97,646.584
98,254.344
99,1039.232
100,536.6
101,1414.968
102,755.84
103,676.344
104,720.512
105,1040.352
106,921.552
107,791.784
108,1045.408
109,703.96
110,692.72
111,988.496
112,2083.184
113,1297.264
114,686.112
115,1071.792
116,1442.544
117,1598.536
118,2149.808
119,3233.472
120,2013.248
121,1687.568
122,1155.992
123,1678.072
124,1037.56
125,758.632
126,1674.632
127,1398.416
128,1066.704
129,1105.968
130,868.168
131,1268.752
132,1103.672
133,1421.744
134,1387.472
135,1369.0
136,1395.64
137,2011.264
138,1392.928
139,1554.408
140,1568.856
141,1199.296
142,1567.128
143,1917.2
144,997.28
145,742.184
146,1733.408
147,418.248
148,122.848
149,2044.928
150,1004.624
151,1399.944
152,1565.152
153,2118.216
154,980.896
155,931.536
156,1539.88
157,206.68
158,499.816
159,577.728
160,1740.944
161,1447.6
162,1157.808
163,2187.24
164,1378.832
165,1233.856
166,656.648
167,546.36
168,2077.208
169,1343.256
170,634.088
171,418.984
172,435.48
173,670.128
174,818.544
175,1045.344
176,2612.08
177,2063.208
178,961.504
179,956.672
180,2229.032
181,2006.224
182,1892.672
183,1670.192
184,2118.624
185,872.272
186,2288.224
187,2425.968
188,2009.504
189,1225.856
190,143.36
191,199.824
192,2705.968
193,2202.784
194,1715.712
195,2537.68
196,2549.92
197,666.312
198,1294.768
199,1063.664
200,1212.6
201,1730.448
202,925.264
203,823.128
204,900.104
205,988.168
206,1630.848
207,1280.936
208,1324.552
209,2281.056
210,2305.728
211,2631.272
212,3447.888
213,3297.256
214,1183.408
215,1177.752
216,1313.232
217,1702.112
218,1768.536
219,1511.576
220,1013.648
221,1122.528
222,170.256
223,1633.776
224,743.256
225,1020.936
226,2350.176
227,1833.152
228,800.056
229,2380.648
230,447.6
231,320.216
232,1355.88
233,1133.344
234,911.408
235,1106.944
236,1292.376
237,1755.208
238,1388.56
239,1534.752
240,1116.8
241,1364.376
242,3562.424
243,3574.856
244,3437.448
245,2305.112
246,3239.4
247,2783.072
248,2796.712
249,2107.792
250,1111.648
251,1005.48
252,2040.88
253,2796.984
254,1191.296
255,1239.536
256,464.928
257,2265.576
258,1639.52
259,2687.632
260,1823.344
261,1407.832
262,1667.28
263,1537.632
264,1299.576
265,1075.056
266,1867.688
267,1274.296
268,1544.576
269,1465.576
270,3026.776
271,2660.256
272,2613.752
273,2580.352
274,1440.856
275,1324.056
276,1351.248
277,2479.968
278,2152.48
279,2232.216
280,1865.048
281,1384.784
282,1578.056
283,1431.224
284,2301.296
285,512.736
286,368.056
287,391.592
288,481.8
289,457.272
290,787.28
291,308.832
292,1600.488
293,2258.824
294,1967.656
295,2521.488
296,660.144
297,2103.008
298,1786.152
299,351.848
300,2527.0
301,4737.88
302,4500.72
303,4886.624
304,3721.72
305,1838.128
306,942.416
307,1610.928
308,2635.92
309,859.44
310,1496.584
311,1612.744
312,2865.256
313,2800.544
314,2361.12
315,2439.144
316,2089.624
317,2762.688
318,2600.656
319,1726.736
320,3272.592
321,2816.736
322,1614.384
323,1624.944
324,1844.0
325,2292.368
326,1678.92
327,3217.424
328,3850.232
329,1183.896
330,1424.472
331,2138.856
332,1282.536
333,1044.904
334,2211.136
335,1528.296
336,1492.432
337,1234.784
338,192.864
339,1587.632
340,1322.824
341,1137.456
342,1587.736
343,4397.376
344,4455.904
345,4307.448
346,4320.856
347,3545.84
348,3622.136
349,4084.944
350,5024.44
351,4356.336
352,2408.632
353,3262.712
354,1048.568
355,4393.24
356,1253.288
357,4562.368
358,4802.536
359,4534.52
360,5189.128
361,2079.264
362,918.088
363,1348.12
364,2633.944
365,4925.144
366,4358.088
367,3552.312
368,3503.976
369,2351.72
370,655.344
371,2795.624
372,1611.232
373,680.552
374,633.84
375,1590.648
376,610.368
377,987.96
378,1789.24
379,830.92
380,852.432
381,1688.296
382,611.824
383,527.544
384,416.552
385,755.84
386,241.296
387,287.232
388,629.392
389,469.256
390,981.784
391,1126.696
392,2065.296
393,665.984
394,693.144
395,646.992
396,1090.368
397,789.632
398,1575.696
399,1759.136
400,853.904
401,752.08
402,1079.368
403,1061.136
404,2354.04
405,988.528
406,758.664
407,561.152
408,1136.848
409,1077.48
410,2024.376
411,2107.36
412,2479.456
413,1413.616
414,1746.312
415,2150.68
416,1683.568
417,1638.672
418,884.784
419,1079.056
420,5930.432
421,3618.104
422,6004.256
423,4966.744
424,2375.936
425,1212.704
426,5611.04
427,4436.76
428,1479.304
429,1222.568
430,3248.408
431,6632.864
432,6781.32
433,5663.432
434,1554.544
435,2285.488
436,2486.904
437,1485.912
438,1395.816
439,780.08
440,818.216
441,389.352
442,6798.88
443,2247.832
444,4273.56
445,2634.096
446,660.288
447,858.88
448,451.544
449,598.144
450,769.472
451,1768.952
452,1794.336
453,2084.024
454,435.728
455,254.544
456,1008.52
457,1541.44
458,1706.976
459,1527.52
460,1114.736
461,128.32
462,4153.224
463,4063.4
464,4679.44
465,4099.856
466,4478.256
467,3603.432
468,4225.28
469,3420.056
470,2883.608
471,1099.752
472,1467.016
473,553.008
474,1182.856
475,1330.536
476,1159.792
477,842.208
478,2290.464
479,1710.248
480,1366.56
481,666.08
482,384.352
483,836.384
484,685.104
485,661.336
486,1514.04
487,620.848
488,553.168
489,562.144
490,1262.976
491,1815.392
492,1231.568
493,257.4
494,795.232
495,622.472
496,776.912
497,1325.032
498,1336.368
499,1508.864
500,1997.008
501,1699.312
502,1930.376
503,2081.112
504,2097.392
505,2121.608
506,2084.032
507,2324.6
508,2789.28
509,2719.6
510,2457.528
511,2688.936
512,2193.896
513,2297.736
514,2236.496
515,2552.48
516,2397.432
517,2446.184
518,2351.904
519,2552.672
520,2605.576
521,2538.968
522,2288.44
523,2746.624
